any,municipi,sexe,concepte,estat,valor
2023,Castellolí,total,població,,651
2023,Castellserà,homes,població,,509
2023,Castellserà,dones,població,,480
2023,Castellserà,total,població,,989
2023,Castellterçol,homes,població,,1392
2023,Castellterçol,dones,població,,1343
2023,Castellterçol,total,població,,2735
2023,Castellvell del Camp,homes,població,,1518
2023,Castellvell del Camp,dones,població,,1500
2023,Castellvell del Camp,total,població,,3018
2023,Castellví de la Marca,homes,població,,856
2023,Castellví de la Marca,dones,població,,818
2023,Castellví de la Marca,total,població,,1674
2023,Castellví de Rosanes,homes,població,,1031
2023,Castellví de Rosanes,dones,població,,1058
2023,Castellví de Rosanes,total,població,,2089
2023,"Catllar, el",homes,població,,2671
2023,"Catllar, el",dones,població,,2444
2023,"Catllar, el",total,població,,5115
2023,Cava,homes,població,,29
2023,Cava,dones,població,,15
2023,Cava,total,població,,44
2023,"Cellera de Ter, la",homes,població,,986
2023,"Cellera de Ter, la",dones,població,,1026
2023,"Cellera de Ter, la",total,població,,2012
2023,Celrà,homes,població,,2745
2023,Celrà,dones,població,,2741
2023,Celrà,total,població,,5486
2023,Centelles,homes,població,,3788
2023,Centelles,dones,població,,3938
2023,Centelles,total,població,,7726
2023,Cercs,homes,població,,601
2023,Cercs,dones,població,,595
2023,Cercs,total,població,,1196
2023,Cerdanyola del Vallès,homes,població,,28138
2023,Cerdanyola del Vallès,dones,població,,29741
2023,Cerdanyola del Vallès,total,població,,57879
2023,Cervelló,homes,població,,4788
2023,Cervelló,dones,població,,4681
2023,Cervelló,total,població,,9469
2023,Cervera,homes,població,,4820
2023,Cervera,dones,població,,4633
2023,Cervera,total,població,,9453
2023,Cervià de les Garrigues,homes,població,,351
2023,Cervià de les Garrigues,dones,població,,294
2023,Cervià de les Garrigues,total,població,,645
2023,Cervià de Ter,homes,població,,514
2023,Cervià de Ter,dones,població,,493
2023,Cervià de Ter,total,població,,1007
2023,Cistella,homes,població,,149
2023,Cistella,dones,població,,149
2023,Cistella,total,població,,298
2023,Ciutadilla,homes,població,,100
2023,Ciutadilla,dones,població,,88
2023,Ciutadilla,total,població,,188
2023,Clariana de Cardener,homes,població,,83
2023,Clariana de Cardener,dones,població,,75
2023,Clariana de Cardener,total,població,,158
2023,"Cogul, el",homes,població,,88
2023,"Cogul, el",dones,població,,67
2023,"Cogul, el",total,població,,155
2023,Colera,homes,població,,247
2023,Colera,dones,població,,232
2023,Colera,total,població,,479
2023,Coll de Nargó,homes,població,,296
2023,Coll de Nargó,dones,població,,272
2023,Coll de Nargó,total,població,,568
2023,Collbató,homes,població,,2490
2023,Collbató,dones,població,,2338
2023,Collbató,total,població,,4828
2023,Colldejou,homes,població,,93
2023,Colldejou,dones,població,,68
2023,Colldejou,total,població,,161
2023,Collsuspina,homes,població,,193
2023,Collsuspina,dones,població,,194
2023,Collsuspina,total,població,,387
2023,Colomers,homes,població,,104
2023,Colomers,dones,població,,103
2023,Colomers,total,població,,207
2023,"Coma i la Pedra, la",homes,població,,155
2023,"Coma i la Pedra, la",dones,població,,120
2023,"Coma i la Pedra, la",total,població,,275
2023,Conca de Dalt,homes,població,,228
2023,Conca de Dalt,dones,població,,208
2023,Conca de Dalt,total,població,,436
2023,Conesa,homes,població,,60
2023,Conesa,dones,població,,60
2023,Conesa,total,població,,120
2023,Constantí,homes,població,,3490
2023,Constantí,dones,població,,3298
2023,Constantí,total,població,,6788
2023,Copons,homes,població,,173
2023,Copons,dones,població,,167
2023,Copons,total,població,,340
2023,Corbera d'Ebre,homes,població,,536
2023,Corbera d'Ebre,dones,població,,475
2023,Corbera d'Ebre,total,població,,1011
2023,Corbera de Llobregat,homes,població,,7762
2023,Corbera de Llobregat,dones,població,,7704
